name,hexadecimal,rgb_red,rgb_green,rgb_blue,hsv_hue,hsv_satur,hsv_value
Absolute Zero,#0048BA,0,72,186,217,100,73
Acid green,#B0BF1A,176,191,26,65,86,75
Aero,#7CB9E8,124,185,232,206,47,91
Aero blue,#C9FFE5,201,255,229,151,21,100
African violet,#B284BE,178,132,190,288,31,75
Air Force blue (RAF),#5D8AA8,93,138,168,204,45,66
Air Force blue (USAF),#00308F,0,48,143,220,100,56
Air superiority blue,#72A0C1,114,160,193,205,41,76
Alabama crimson,#AF002A,175,0,42,346,100,69
Alice blue,#F0F8FF,240,248,255,208,6,100
Alien Armpit,#84DE02,132,222,2,85,99,87
Alizarin crimson,#E32636,227,38,54,355,83,89
Alloy orange,#C46210,196,98,16,27,92,77
Almond,#EFDECD,239,222,205,30,14,94
Amaranth,#E52B50,229,43,80,348,81,90
Amaranth deep purple,#AB274F,171,39,79,342,77,67
Amaranth pink,#F19CBB,241,156,187,338,35,95
Amaranth purple,#AB274F,171,39,79,342,77,67
Amaranth red,#D3212D,211,33,45,356,84,83
Amazon,#3B7A57,59,122,87,147,52,48
Amber,#FFBF00,255,191,0,45,100,100
Amber (SAE/ECE),#FF7E00,255,126,0,30,100,100
American rose,#FF033E,255,3,62,346,99,100
Amethyst,#9966CC,153,102,204,270,50,80
Android green,#A4C639,164,198,57,74,71,78
Anti-flash white,#F2F3F4,242,243,244,210,1,96
Antique brass,#CD9575,205,149,117,22,43,80
Antique bronze,#665D1E,102,93,30,53,71,40
Antique fuchsia,#915C83,145,92,131,316,37,57
Antique ruby,#841B2D,132,27,45,350,80,52
Antique white,#FAEBD7,250,235,215,34,14,98
Ao (English),#008000,0,128,0,120,100,50
Apple green,#8DB600,141,182,0,74,100,71
Apricot,#FBCEB1,251,206,177,24,29,98
Aqua,#00FFFF,0,255,255,180,100,100
Aquamarine,#7FFFD4,127,255,212,160,50,100
Arctic lime,#D0FF14,208,255,20,72,92,100
Army green,#4B5320,75,83,32,69,61,33
Arsenic,#3B444B,59,68,75,206,21,29
Artichoke,#8F9779,143,151,121,76,20,59
Arylide yellow,#E9D66B,233,214,107,51,54,91
Ash grey,#B2BEB5,178,190,181,135,6,75
Asparagus,#87A96B,135,169,107,93,37,66
Atomic tangerine,#FF9966,255,153,102,20,60,100
Auburn,#A52A2A,165,42,42,0,75,65
Aureolin,#FDEE00,253,238,0,56,100,99
AuroMetalSaurus,#6E7F80,110,127,128,183,14,50
Avocado,#568203,86,130,3,81,98,51
Aztec Gold,#C39953,195,153,83,38,57,77
Azure,#007FFF,0,127,255,210,100,100
Azure (web color),#F0FFFF,240,255,255,180,6,100
Azure mist,#F0FFFF,240,255,255,180,6,100
Azureish white,#DBE9F4,219,233,244,206,10,96
Baby blue,#89CFF0,137,207,240,199,43,94
Baby blue eyes,#A1CAF1,161,202,241,209,33,95
Baby pink,#F4C2C2,244,194,194,0,20,96
Baby powder,#FEFEFA,254,254,250,60,2,100
Baker-Miller pink,#FF91AF,255,145,175,344,43,100
Ball blue,#21ABCD,33,171,205,192,84,80
Banana Mania,#FAE7B5,250,231,181,43,28,98
Banana yellow,#FFE135,255,225,53,51,79,100
Bangladesh green,#006A4E,0,106,78,164,100,42
Barbie pink,#E0218A,224,33,138,327,85,88
Barn red,#7C0A02,124,10,2,4,98,49
Battleship grey,#848482,132,132,130,60,2,52
Bazaar,#98777B,152,119,123,353,22,60
Beau blue,#BCD4E6,188,212,230,206,18,90
Beaver,#9F8170,159,129,112,22,30,62
Beige,#F5F5DC,245,245,220,60,10,96
B'dazzled blue,#2E5894,46,88,148,215,69,58
Big dip o’ruby,#9C2542,156,37,66,345,76,61
Big Foot Feet,#E88E5A,232,142,90,22,61,91
Bisque,#FFE4C4,255,228,196,33,23,100
Bistre,#3D2B1F,61,43,31,24,49,24
Bistre brown,#967117,150,113,23,43,85,59
Bitter lemon,#CAE00D,202,224,13,66,94,88
Bitter lime,#BFFF00,191,255,0,75,100,100
Bittersweet,#FE6F5E,254,111,94,6,63,100
Bittersweet shimmer,#BF4F51,191,79,81,359,59,75
Black,#000000,0,0,0,0,0,0
Black bean,#3D0C02,61,12,2,10,97,24
Black Coral,#54626F,84,98,111,209,24,44
